,id,degreeType,major,earlyCareerMedianPay,midCareerMedianPay,fiveToTenYearMedianPay,tenToTwentyYearMedianPay,twentyPlusYearMedianPay,percentHighMeaning,year,url,rank,tie
746,4193,Bachelors,Psychology & Social Sciences,42600,62000,44700.0,61000.0,62400.0,0.68,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Psychology_%26_Social_Sciences/Salary,746,True
747,4194,Bachelors,Health & Physical Education Teaching,38700,61900,52600.0,53500.0,70600.0,0.65,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Health_%26_Physical_Education_Teaching/Salary,748,False
748,4172,Bachelors,Organizational Administration,45000,61800,,63100.0,,,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Organizational_Administration/Salary,749,False
749,4170,Bachelors,Tourism Management,43100,61600,55300.0,57700.0,,0.38,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Tourism_Management/Salary,750,True
750,4171,Bachelors,Instrumental Music Teacher Education,41700,61600,49300.0,61300.0,62800.0,0.65,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Instrumental_Music_Teacher_Education/Salary,750,True
751,4169,Bachelors,Emergency Medical Services (EMS),44200,61400,,,,,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Emergency_Medical_Services_(EMS)/Salary,752,False
752,4148,Bachelors,Community Health,45400,61300,54800.0,59600.0,70600.0,0.72,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Community_Health/Salary,753,False
753,4149,Bachelors,Health & Human Performance,38100,61100,45700.0,54900.0,,0.68,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Health_%26_Human_Performance/Salary,754,False
754,4150,Bachelors,Music Therapy,43100,60700,44100.0,58800.0,62200.0,0.93,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Music_Therapy/Salary,755,False
755,4151,Bachelors,Social Services,39900,60500,43500.0,57200.0,61600.0,0.82,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Social_Services/Salary,756,False
756,4152,Bachelors,Rehabilitation Services,35800,60200,42100.0,50900.0,,0.79,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Rehabilitation_Services/Salary,757,False
757,4153,Bachelors,Horticulture,43000,60100,52400.0,57100.0,67600.0,0.59,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Horticulture/Salary,758,False
758,4154,Bachelors,University Studies,42400,60000,58100.0,59200.0,,0.49,2021,/research/US/Degree=Bachelor%27s_Degree%2C_University_Studies/Salary,759,False
759,4155,Bachelors,Church Ministries,40000,59900,52900.0,56800.0,,0.79,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Church_Ministries/Salary,760,False
760,4156,Bachelors,Communicative Disorders,47400,59800,52200.0,58600.0,,0.73,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Communicative_Disorders/Salary,761,True
761,4157,Bachelors,Social Science Teacher Education,45400,59800,,,,,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Social_Science_Teacher_Education/Salary,761,True
762,4158,Bachelors,Wildlife Biology,42900,59800,48100.0,57300.0,68800.0,0.6,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Wildlife_Biology/Salary,761,True
763,4159,Bachelors,Community Development,44600,59400,50900.0,57100.0,,0.63,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Community_Development/Salary,764,True
